breakdown,group,A-Full (Qwen2.5-14B-Instruct)_brier,A-Full (Qwen2.5-14B-Instruct)_accuracy,A-Full (Qwen2.5-14B-Instruct)_skill,B-NoMeta_brier,B-NoMeta_accuracy,B-NoMeta_skill,C-Shuffled_brier,C-Shuffled_accuracy,C-Shuffled_skill,n
overall,all,0.9342441015995213,0.20874471086036672,-0.16012361304181755,1.0246914231954676,0.1777150916784203,-0.2724390917696933,0.9415030220753846,0.22425952045133993,-0.16913757955744635,709
frame_type,book_context,0.8476590085131275,0.1848341232227488,-0.0854797603380344,0.9525565408298474,0.12796208530805686,-0.2198075349451052,0.8689297535596818,0.2132701421800948,-0.1127182642688136,211
frame_type,passage_context,1.0406229866776329,0.12323943661971831,-0.28150724094722857,1.1320978208788746,0.11267605633802817,-0.39415674407573564,1.0502937330119602,0.14788732394366197,-0.29341657949871625,284
frame_type,world_context,0.8784396683240399,0.34579439252336447,-0.07073398562572364,0.9532757373873301,0.3130841121495327,-0.16195200023289225,0.8686824508175633,0.3364485981308411,-0.05884087017789885,214
reasoning_type,abstention,1.2349918992719309,0.09090909090909091,-0.5069230052125615,1.3444889846247328,0.05454545454545454,-0.6405300977118207,1.1893451071407788,0.07272727272727272,-0.45122531098708474,55
reasoning_type,character_modeling,0.864856063412128,0.18681318681318682,-0.1531414178828372,0.9608525219911609,0.16483516483516483,-0.28113669598821445,0.8508475319446361,0.21978021978021978,-0.13446337592618152,91
reasoning_type,constrained_generation,0.8165014578575757,0.21052631578947367,-0.019732320286630856,0.9371481152530714,0.11578947368421053,-0.1704084699698749,0.8787901325001877,0.22105263157894736,-0.09752492446342509,95
reasoning_type,inference,0.7093780394419469,0.5,0.13523735788198177,0.7604285231103135,0.3918918918918919,0.07300460089786565,0.7086910362759261,0.47297297297297297,0.1360748445815404,74
reasoning_type,knowledge,0.7949124663845192,0.3764705882352941,0.031833121530072006,0.8680282698395889,0.4117647058823529,-0.05721856930562508,0.8004814929152626,0.38823529411764707,0.02505030296778521,85
reasoning_type,phrase_cloze,1.0738143295565739,0.12804878048780488,-0.3255969141684487,1.1294641017315865,0.13414634146341464,-0.3942951651033535,1.0799716701850233,0.1524390243902439,-0.33319799706694875,164
reasoning_type,sentence_cloze,0.9952614847430783,0.11666666666666667,-0.22159609446815098,1.1356972370468348,0.08333333333333333,-0.3939686509950939,1.0097338855421059,0.14166666666666666,-0.23935969585802463,120
reasoning_type,topic_sentence,0.9034604211718629,0.08,-0.10421771881091346,0.9809111865944135,0.04,-0.19887876373429636,0.8972796002645269,0.16,-0.09666346208561638,25
