breakdown,group,n,Qwen2.5-7B_A_brier,Qwen2.5-7B_A_accuracy,Qwen2.5-7B_A_skill,Qwen2.5-7B_B_brier,Qwen2.5-7B_B_accuracy,Qwen2.5-7B_B_skill,Qwen2.5-7B_C_brier,Qwen2.5-7B_C_accuracy,Qwen2.5-7B_C_skill,Qwen2.5-14B_A_brier,Qwen2.5-14B_A_accuracy,Qwen2.5-14B_A_skill,Qwen2.5-14B_B_brier,Qwen2.5-14B_B_accuracy,Qwen2.5-14B_B_skill,Qwen2.5-14B_C_brier,Qwen2.5-14B_C_accuracy,Qwen2.5-14B_C_skill,Mistral-7B_A_brier,Mistral-7B_A_accuracy,Mistral-7B_A_skill,Mistral-7B_B_brier,Mistral-7B_B_accuracy,Mistral-7B_B_skill,Mistral-7B_C_brier,Mistral-7B_C_accuracy,Mistral-7B_C_skill,GPT-4.1_A_accuracy,GPT-4.1_A_skill,GPT-4.1_B_accuracy,GPT-4.1_B_skill,GPT-4.1_C_accuracy,GPT-4.1_C_skill,Domain FT run1_A_brier,Domain FT run1_A_accuracy,Domain FT run1_A_skill,Domain FT run1_C_brier,Domain FT run1_C_accuracy,Domain FT run1_C_skill
overall,all,709,0.9578586204690008,0.2016925246826516,-0.1894475990366986,1.039036177250889,0.157968970380818,-0.2902520893304798,0.959732221820508,0.2016925246826516,-0.1917741956569922,0.9342441015995212,0.2087447108603667,-0.1601236130418175,1.0246914231954676,0.1777150916784203,-0.2724390917696933,0.9415030220753846,0.2242595204513399,-0.1691375795574463,0.9614833666709508,0.1622002820874471,-0.1939487285091421,0.9856092748265972,0.1452750352609308,-0.2239077463820122,0.966022240010498,0.156558533145275,-0.1995850007947248,0.660085,0.562565,0.545134,0.414974,0.614951,0.50583,0.1646688894369164,0.28291316526610644,0.09875116713352007,0.16489872666112,0.2913165266106443,0.10894024276377219
frame_type,book_context,211,0.8769168017019147,0.2180094786729857,-0.1229461731521828,0.968756815439739,0.1374407582938388,-0.24055298803927,0.8847624632439076,0.1990521327014218,-0.1329930277538158,0.8476590085131275,0.1848341232227488,-0.0854797603380344,0.9525565408298474,0.1279620853080568,-0.2198075349451052,0.8689297535596818,0.2132701421800948,-0.1127182642688136,0.9160216683499156,0.1374407582938388,-0.1730223722497179,0.9509749103615696,0.1184834123222748,-0.2177821593584514,0.9258238299115966,0.1279620853080568,-0.1855746460719851,0.596749,0.472773,0.442783,0.271368,0.51331,0.363857,0.18073352336908094,0.2530420489671753,0.027284763833503853,0.18096651661120144,0.2558690620522429,0.029511936864878067
frame_type,passage_context,284,1.053683047050116,0.1056338028169014,-0.2975904547036143,1.1406655105668722,0.0845070422535211,-0.404707689532372,1.0629328914759375,0.1267605633802817,-0.3089814606309109,1.0406229866776329,0.1232394366197183,-0.2815072409472285,1.1320978208788746,0.1126760563380281,-0.3941567440757356,1.0502937330119602,0.1478873239436619,-0.2934165794987162,1.027031491480184,0.0774647887323943,-0.2647695754009016,1.0806229311132154,0.0633802816901408,-0.3307664050133065,1.041490560326666,0.0704225352112676,-0.2825756412492826,0.609257,0.502462,0.591471,0.48228,0.603798,0.495833,0.14961853752779367,0.22812904745084187,0.05429152260212577,0.14957160268919678,0.2550020008003201,0.08657059314954052
frame_type,world_context,214,0.9104968756597484,0.3130841121495327,-0.1098086570190144,0.9734577411780542,0.2757009345794392,-0.1865519336557348,0.8966931044257447,0.3037383177570093,-0.0929831793874667,0.8784396683240399,0.3457943925233644,-0.0707339856257236,0.95327573738733,0.3130841121495327,-0.1619520002328922,0.8686824508175633,0.3364485981308411,-0.0588408701778988,0.919318651249998,0.2990654205607476,-0.1205615581898658,0.8936652211664179,0.2803738317757009,-0.0892924791297542,0.9055029015108552,0.2990654205607476,-0.1037214799055785,0.790211,0.734229,0.584953,0.468455,0.730681,0.659531,0.1684574332458882,0.38738738738738737,0.23245544908166269,0.16883910628626514,0.3733619456366237,0.215406162464986
reasoning_type,abstention,55,1.2846858346875114,0.109090909090909,-0.5675589774334586,1.2964493455423562,0.109090909090909,-0.5819126789756985,1.1925333676356955,0.0909090909090909,-0.4551155900158243,1.2349918992719309,0.0909090909090909,-0.5069230052125615,1.3444889846247328,0.0545454545454545,-0.6405300977118207,1.1893451071407788,0.0727272727272727,-0.4512253109870847,1.2331566754489665,0.0545454545454545,-0.5046836860719506,1.0136006436443346,0.1818181818181818,-0.236783924579887,1.1867022451670612,0.0909090909090909,-0.4480005210025155,0.693548,0.60303,0.105263,-0.166667,0.6,0.485409,0.1651381217923832,0.9152542372881356,0.8902777777777778,0.16685508258824444,0.9142857142857143,0.8884180790960453
reasoning_type,character_modeling,91,0.9251463931620348,0.1868131868131868,-0.2335285242160463,1.023381550675072,0.1208791208791208,-0.3645087342334294,0.90888156737591,0.1868131868131868,-0.2118420898345467,0.864856063412128,0.1868131868131868,-0.1531414178828372,0.9608525219911608,0.1648351648351648,-0.2811366959882144,0.8508475319446361,0.2197802197802197,-0.1344633759261815,0.9685545817026772,0.1098901098901098,-0.2914061089369029,0.9830619857665228,0.0769230769230769,-0.3107493143553637,0.9549252652284402,0.1098901098901098,-0.2732336869712537,0.504854,0.339806,0.49468,0.32624,0.506024,0.341365,0.18659510487541273,0.3388424177010254,0.11845655693470052,0.18658180502420413,0.3333333333333333,0.11111111111111112
reasoning_type,constrained_generation,95,0.8370842358034774,0.2210526315789473,-0.0454382436634142,0.9360250398842024,0.1473684210526315,-0.1690058561218135,0.8688815498865444,0.1894736842105263,-0.0851500513482264,0.8165014578575757,0.2105263157894736,-0.0197323202866308,0.9371481152530714,0.1157894736842105,-0.1704084699698749,0.8787901325001877,0.2210526315789473,-0.097524924463425,0.8529440750093599,0.1789473684210526,-0.0652456677373691,0.9123207927543217,0.1578947368421052,-0.1394015159289297,0.8876082852528958,0.1578947368421052,-0.1085379548513383,0.727273,0.642442,0.4,0.21641,0.535714,0.392772,0.18415364019601083,0.17843300110741972,-0.0688854815680166,0.18447342531888775,0.18085106382978725,-0.0662512664640324
reasoning_type,inference,74,0.7660422308030211,0.4189189189189189,0.0661612473874537,0.8171637656946107,0.3648648648648648,0.0038418758760986,0.768234457129528,0.4054054054054054,0.0634888282754637,0.7093780394419469,0.5,0.1352373578819817,0.7604285231103135,0.3918918918918919,0.0730046008978656,0.7086910362759261,0.4729729729729729,0.1360748445815404,0.7909046108750669,0.3648648648648648,0.0358529261750318,0.8231204678767499,0.2972972972972973,-0.0034196028149939,0.7749581438102008,0.3513513513513513,0.0552923621664671,0.716049,0.644072,0.662575,0.57941,0.690141,0.613258,0.17013166697552287,0.33766233766233766,0.16331117442228554,0.17020514741973108,0.3108108108108108,0.13081751054852325
reasoning_type,knowledge,85,0.7941351223994039,0.3529411764705882,0.0327798908051715,0.9005308699514456,0.3058823529411765,-0.0968052435913833,0.8171016388183647,0.3529411764705882,0.0048077285219373,0.7949124663845192,0.3764705882352941,0.031833121530072,0.8680282698395889,0.4117647058823529,-0.057218569305625,0.8004814929152626,0.388235294117647,0.0250503029677852,0.8280427413300168,0.4,-0.0085180318777009,0.8774753800740657,0.3294117647058823,-0.0687247157218147,0.8372011152609394,0.388235294117647,-0.0196725107360973,0.917647,0.897938,0.824533,0.779915,0.847059,0.809424,0.16863864769357978,0.08045977011494253,-0.1450062332182585,0.16849710023504122,0.06833748443337484,-0.15928030303030305
reasoning_type,phrase_cloze,164,1.0631557253875283,0.1219512195121951,-0.3124391340877301,1.1529168844209532,0.0914634146341463,-0.4232470383518003,1.0754807720696662,0.1341463414634146,-0.3276540957427594,1.073814329556574,0.1280487804878048,-0.3255969141684487,1.1294641017315863,0.1341463414634146,-0.3942951651033535,1.0799716701850233,0.1524390243902439,-0.3331979970669487,1.0235010550733885,0.0853658536585365,-0.2634864360710274,1.0817823021421449,0.0670731707317073,-0.3354331769011072,1.0365186141626432,0.073170731707317,-0.2795562869602845,0.645963,0.547341,0.62069,0.519321,0.65896,0.566569,0.15035468233560068,0.2222222222222222,0.04343349005779215,0.1504952851850466,0.2389937106918239,0.06536889493457702
